Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
2486,FARMERS STATE BANK OF ROUND LAKE,COMMERCIAL BANK,STATE,"ROUND LAKE, MN",8/2/1985 ,FDIC,10970,ACQUISITION,20903,23210,
2489,MINEOLA STATE BANK,COMMERCIAL BANK,STATE,"MINEOLA, IA",8/6/1985 ,FDIC,14180,ACQUISITION,4928,5205,
2490,SECURITY BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"MIDWEST CITY, OK",8/8/1985 ,FDIC,18907,ACQUISITION,33426,34976,
2492,STATE BANK OF FARMERSVILLE,COMMERCIAL BANK,STATE,"FARMERSVILLE, IL",8/9/1985 ,FDIC,10085,ACQUISITION,12118,11984,
,SIERRA FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"DENVER, CO",8/9/1985 ,FSLIC,31906,TRANSFER,81482,48363,
6600,STATE BANK OF HERNDON,COMMERCIAL BANK,STATE,"HERNDON, KS",8/14/1985 ,FDIC,15380,PAYOUT,5758,6237,
5601,"PARK WEST BANK, N.A.",COMMERCIAL BANK,FEDERAL,"FARMERS BRANCH, TX",8/15/1985 ,FDIC,24761,TRANSFER,18232,20544,
7521,MONTANA S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"KALISPELL, MT",8/16/1985 ,FSLIC,32055,PAYOUT,30360,26949,
7557,CENTENNIAL  S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"GUERNEVILLE, CA",8/20/1985 ,FSLIC,31818,TRANSFER,367831,368163,
6602,THE BANK OF BRONSON,COMMERCIAL BANK,STATE,"BRONSON, KS",8/23/1985 ,FDIC,10501,PAYOUT,9294,9604,
7522,ALLIANCE FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"KENNER, LA",8/23/1985 ,FSLIC,32083,TRANSFER,133989,188137,
2494,MISSOURI DELTA BANK,COMMERCIAL BANK,STATE,"HAYTI, MO",8/28/1985 ,FDIC,19574,ACQUISITION,8112,9116,
2493,CARDWELL STATE BANK,COMMERCIAL BANK,STATE,"CARDWELL, MO",8/28/1985 ,FDIC,16084,ACQUISITION,5664,6206,
7541,PRESIDIO  S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"PORTERVILLE, CA",8/28/1985 ,FSLIC,31749,TRANSFER,244890,284494,
2495,"MONCOR BANK, N.A.",COMMERCIAL BANK,FEDERAL,"HOBBS, NM",8/30/1985 ,FDIC,16798,ACQUISITION,220340,229302,
,WESTSIDE FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"SEATTLE, WA",8/30/1985 ,FSLIC,28124,TRANSFER,325085,378366,
2496,THE BANK OF LORETTO,COMMERCIAL BANK,STATE,"LORETTO, TN",9/4/1985 ,FDIC,6096,ACQUISITION,24782,25637,
6607,BANK OF CLIFTON,COMMERCIAL BANK,STATE,"CLIFTON, CO",9/6/1985 ,FDIC,23209,PAYOUT,9839,10887,
2498,FIRST SECURITY BANK OF DICKSON,COMMERCIAL BANK,STATE,"DICKSON, TN",9/12/1985 ,FDIC,20490,ACQUISITION,14259,14785,
2497,"MONCOR BANK, N.A.",COMMERCIAL BANK,FEDERAL,"ROSWELL, NM",9/12/1985 ,FDIC,24106,ACQUISITION,32901,33293,
5610,THE FIRST NATIONAL BANK OF ROCKLAND,COMMERCIAL BANK,FEDERAL,"RAMAPO, NY",9/13/1985 ,FDIC,21562,TRANSFER,25309,29482,
6611,ELBA STATE BANK,COMMERCIAL BANK,STATE,"ELBA, NE",9/18/1985 ,FDIC,12743,PAYOUT,4217,4735,
6612,THE SEDAN STATE BANK,COMMERCIAL BANK,STATE,"SEDAN, KS",9/25/1985 ,FDIC,1148,PAYOUT,26586,28153,
5614,THE FIRST NATIONLAL BANK IN TERRAL,COMMERCIAL BANK,FEDERAL,"TERRAL, OK",9/27/1985 ,FDIC,4207,PAYOUT,3948,4063,
2499,WESTERN STATE BANK,COMMERCIAL BANK,STATE,"DENTON, TX",9/27/1985 ,FDIC,18760,ACQUISITION,23678,27831,
2500,"TOWER BANK, N.A.",COMMERCIAL BANK,FEDERAL,"HIALEAH GARDENS, FL",10/3/1985 ,FDIC,24573,ACQUISITION,19722,20523,
2502,BANK OF CANTON,COMMERCIAL BANK,STATE,"CANTON, OK",10/10/1985 ,FDIC,15756,ACQUISITION,20609,22438,
2504,THE FIRST NATIONAL BANK OF ST. JOSEPH,COMMERCIAL BANK,FEDERAL,"ST. JOSEPH, MO",10/11/1985 ,FDIC,4602,ACQUISITION,175895,193485,
2503,SARATOGA STATE BANK,COMMERCIAL BANK,STATE,"SARATOGA, WY",10/11/1985 ,FDIC,525,ACQUISITION,16300,18470,
2505,FARMERS STATE BANK IN AFTON,COMMERCIAL BANK,STATE,"AFTON, OK",10/17/1985 ,FDIC,2321,ACQUISITION,9905,10794,
7578,FARMERS SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,"DAVIS, CA",10/18/1985 ,FSLIC,32032,PAYOUT,526353,590288,
2507,THE EARLY BANK,COMMERCIAL BANK,STATE,"EARLY, TX",10/18/1985 ,FDIC,23024,ACQUISITION,15130,15846,
2508,FARMERS STATE BANK OF KANARANZI,COMMERCIAL BANK,STATE,"KANARANZI, MN",10/18/1985 ,FDIC,12189,ACQUISITION,3823,3907,
2509,THE CITIZENS BANK,COMMERCIAL BANK,STATE,"OGDEN, UT",10/18/1985 ,FDIC,19383,ACQUISITION,85512,93459,
2506,FIRST STATE BANK,COMMERCIAL BANK,STATE,"JET, OK",10/18/1985 ,FDIC,14670,ACQUISITION,11495,12344,
6626,YELLOWSTONE STATE BANK,COMMERCIAL BANK,STATE,"LANDER, WY",11/1/1985 ,FDIC,23218,PAYOUT,20774,18676,
2510,EARLY SAVINGS BANK,COMMERCIAL BANK,STATE,"EARLY, IA",11/1/1985 ,FDIC,10116,ACQUISITION,11935,12890,
2511,THE AURORA BANK,COMMERCIAL BANK,STATE,"AURORA, CO",11/1/1985 ,FDIC,23892,ACQUISITION,15214,16567,
2513,NORTHSHORE BANK,COMMERCIAL BANK,STATE,"HOUSTON, TX",11/8/1985 ,FDIC,18859,ACQUISITION,43341,47187,
2512,AUBURN SAVINGS BANK,COMMERCIAL BANK,STATE,"AUBURN, IA",11/8/1985 ,FDIC,14271,ACQUISITION,6647,6833,
5629,FIRST NATIONAL BANK OF TEAGUE,COMMERCIAL BANK,FEDERAL,"TEAGUE, TX",11/14/1985 ,FDIC,5550,PAYOUT,29155,31995,
6630,THE FARMERS AND MERCHANTS STATE BANK OF RU,COMMERCIAL BANK,STATE,"LA CROSSE, KS",11/21/1985 ,FDIC,13160,PAYOUT,28914,32647,
2516,THE CLARKSDALE BANK OF CLARKDALE,COMMERCIAL BANK,STATE,"CLARKSDALE, MO",11/21/1985 ,FDIC,8562,ACQUISITION,5847,6167,
2514,DECATAUR COUNTY NATIONAL BANK OF OBERLIN,COMMERCIAL BANK,FEDERAL,"OBERLIN, KS",11/21/1985 ,FDIC,4740,ACQUISITION,16786,18362,
2515,THE DILL STATE BANK,COMMERCIAL BANK,STATE,"DILL CITY, OK",11/21/1985 ,FDIC,2306,ACQUISITION,14289,15459,
2519,CALIFORNIA HERITAGE BANK,COMMERCIAL BANK,STATE,"SAN DIEGO, CA",11/22/1985 ,FDIC,21691,ACQUISITION,22397,24114,
2517,CHESTER STATE BANK,COMMERCIAL BANK,STATE,"CHESTER, TX",11/22/1985 ,FDIC,11931,ACQUISITION,10979,11722,
2518,ALLEN COUNTY BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,"LEO, IN",11/22/1985 ,FDIC,20533,ACQUISITION,10524,10907,
7585,USM (U.S. MUTUAL) S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"ANN ARBOR, MI",11/26/1985 ,FSLIC,31761,PAYOUT,286973,306069,
7565,CITIZENS S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"SALEM, OR",12/4/1985 ,FSLIC,31792,TRANSFER,153498,239709,
5638,THE FARMERS AND MERCHANTS NATIONAL BANK OF,COMMERCIAL BANK,FEDERAL,"HENNESSY, OK",12/5/1985 ,FDIC,4115,PAYOUT,27452,28684,
6637,SECURITY STATE BANK,COMMERCIAL BANK,STATE,"BROKEN BOW, NE",12/5/1985 ,FDIC,1433,PAYOUT,7550,8040,
7525,STATE  FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"CORVALLIS, OR",12/6/1985 ,FSLIC,31354,TRANSFER,443856,563862,
7524,GUARANTY S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"HARRISON, AR",12/6/1985 ,FSLIC,31321,TRANSFER,316527,451432,
2522,THE FIRST NATIONAL BANK IN LINCOLN COUNTY,COMMERCIAL BANK,FEDERAL,"RUIDOSO, NM",12/13/1985 ,FDIC,23977,ACQUISITION,30697,32024,
2521,LAKE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"LAKE OZARK, MO",12/13/1985 ,FDIC,24449,ACQUISITION,19130,19795,
2520,"THE FARMERS STATE BANK OF BARRY COUNTY, EX",COMMERCIAL BANK,STATE,"EXETER, MO",12/13/1985 ,FDIC,12460,ACQUISITION,4079,4203,
2524,FARMERS STATE BANK,COMMERCIAL BANK,STATE,"SARGENT, NE",12/19/1985 ,FDIC,16732,ACQUISITION,11321,12474,
6642,FARMERS & MERCHANTS BANK,COMMERCIAL BANK,STATE,"COMSTOCK, NE",12/19/1985 ,FDIC,8596,PAYOUT,3180,3324,
6645,PRINCETON STATE BANK,COMMERCIAL BANK,STATE,"PRINCETON, MO",12/19/1985 ,FDIC,8299,PAYOUT,16809,18366,
2523,BANK OF PANAMA,COMMERCIAL BANK,STATE,"PANAMA, NE",12/19/1985 ,FDIC,18726,ACQUISITION,4281,4376,
2526,FIRST CITY BANK,COMMERCIAL BANK,STATE,"GLENDALE, CA",12/20/1985 ,FDIC,22698,ACQUISITION,28772,35813,
2525,STATE BANK OF FROST,COMMERCIAL BANK,STATE,"FROST, MN",12/20/1985 ,FDIC,1917,ACQUISITION,6603,7736,
2528,FIRST STATE BANK,COMMERCIAL BANK,STATE,"CACHE, OK",1/9/1986 ,FDIC,8976,ACQUISITION,18897,20725,4108
2527,THE FIRST NATIONAL BANK OF WHITE CITY,COMMERCIAL BANK,FEDERAL,"WHITE CITY, KS",1/9/1986 ,FDIC,4798,ACQUISITION,9239,9607,3408
6933,MANHATTAN BEACH S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"MANHATTAN BEACH, CA",1/9/1986 ,FSLIC,32205,TRANSFER,49569,51119,
2529,BANK OF DIXIE,COMMERCIAL BANK,STATE,"LAKE PROVIDENCE, LA",1/10/1986 ,FDIC,8147,ACQUISITION,36452,41444,13622
6652,AMERICAN BANK OF CASPER,COMMERCIAL BANK,STATE,"CASPER, WY",1/17/1986 ,FDIC,22670,TRANSFER,18905,20489,7066
2530,FIRST PROGRESSIVE BANK,COMMERCIAL BANK,STATE,"METAIRIE, LA",1/17/1986 ,FDIC,21722,ACQUISITION,37908,39362,15563
2531,UTAH FIRSTBANK,COMMERCIAL BANK,STATE,"SALT LAKE CITY, UT",1/24/1986 ,FDIC,22715,ACQUISITION,39601,38492,10297
2532,PIONEER STATE BANK,COMMERCIAL BANK,STATE,"SALT LAKE CITY, UT",1/24/1986 ,FDIC,22818,ACQUISITION,10893,11698,537
7562,BOHEMIAN S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"ST. LOUIS, MO",1/30/1986 ,FSLIC,32273,TRANSFER,220643,242394,
5655,THE PEOPLES NATIONAL BANK & TRUST,COMMERCIAL BANK,FEDERAL,"ALBIA, IA",2/6/1986 ,FDIC,4422,PAYOUT,49408,51966,13438
6657,VALENCIA BANK,COMMERCIAL BANK,STATE,"PLACENTIA, CA",2/7/1986 ,FDIC,20572,TRANSFER,99181,101081,0
2534,JOHNSON COUNTY BANK,COMMERCIAL BANK,STATE,"TECUMSEH, NE",2/7/1986 ,FDIC,11484,ACQUISITION,19384,20173,4818
7566,MT. WHITNEY S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"EXETER, CA",2/12/1986 ,FSLIC,32058,TRANSFER,83873,81642,
5660,"EXECUTIVE CENTER BANK, N.A.",COMMERCIAL BANK,FEDERAL,"DALLAS, TX",2/14/1986 ,FDIC,25162,PAYOUT,9608,9911,3208
2535,FIRST NATIONAL BANK OF TIPTON,COMMERCIAL BANK,FEDERAL,"TIPTON, IA",2/14/1986 ,FDIC,16740,ACQUISITION,18008,17896,665
2536,PARK BANK OF FLORIDA,COMMERCIAL BANK,STATE,"ST. PETERSBURG, FL",2/14/1986 ,FDIC,20859,ACQUISITION,577791,591667,134893
,INTERCAPITAL S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"JACKSONVILLE BEACH, FL",2/14/1986 ,FSLIC,32215,TRANSFER,70825,65233,
7576,AMERICAN DIVERSIFIED SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,"COSTA MESA, CA",2/14/1986 ,FSLIC,32006,PAYOUT,958953,978635,
6661,ELK CITY STATE BANK,COMMERCIAL BANK,STATE,"ELK CITY, OK",2/21/1986 ,FDIC,23151,PAYOUT,21408,22159,7862
2538,FIRST NATIONAL BANK AT DOUGLAS,COMMERCIAL BANK,FEDERAL,"DOUGLAS, WY",2/21/1986 ,FDIC,19405,ACQUISITION,14260,14020,4103
7574,CAPITOL S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"MOUNT PLEASANT, IA",2/21/1986 ,FSLIC,29920,TRANSFER,180527,192018,
2537,THE FIRST NATIONAL BANK OF GORMAN,COMMERCIAL BANK,FEDERAL,"GORMAN, TX",2/27/1986 ,FDIC,3224,ACQUISITION,13623,14486,5669
2540,THE CITY NATIONAL BANK OF PLAINVIEW,COMMERCIAL BANK,FEDERAL,"PLAINVIEW, TX",3/6/1986 ,FDIC,13920,ACQUISITION,49606,48357,1632
2539,THE FIRST NATIONAL BANK OF TEKAMAH,COMMERCIAL BANK,FEDERAL,"TEKAMAH, NE",3/6/1986 ,FDIC,5482,ACQUISITION,20228,21166,2204
6666,THE CITIZENS BANK OF WINIGAN,COMMERCIAL BANK,STATE,"WINIGAN, MO",3/7/1986 ,FDIC,9391,PAYOUT,6209,6534,1270
6667,FARMERS & MERCHANTS ST BK OF LAMBERTON,COMMERCIAL BANK,STATE,"LAMBERTON, MN",3/14/1986 ,FDIC,1405,TRANSFER,16196,17139,3611
2541,WILLIAMS SAVINGS BANK,COMMERCIAL BANK,STATE,"WILLIAMS, IA",3/20/1986 ,FDIC,12667,ACQUISITION,11746,12847,359
,GUARANTY S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"LONGVIEW, WA",3/21/1986 ,FSLIC,30966,TRANSFER,13877,22341,
,WESTWOOD S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"LOS ANGELES, CA",3/27/1986 ,FSLIC,31927,MANAGEMENT,550570,583179,
2544,STOCKHOLM STATE BANK,COMMERCIAL BANK,STATE,"STOCKHOLM, SD",3/27/1986 ,FDIC,9951,ACQUISITION,6644,7154,991
2542,FIRST STATE BANK,COMMERCIAL BANK,STATE,"WHITE CLOUD, KS",3/27/1986 ,FDIC,17616,ACQUISITION,5597,6083,1399
2543,FIRST STATE BANK,COMMERCIAL BANK,STATE,"MEMPHIS, TX",3/27/1986 ,FDIC,11911,ACQUISITION,16307,17008,4708
2545,FAMILY BANK,COMMERCIAL BANK,STATE,"OGDEN, UT",3/28/1986 ,FDIC,22432,ACQUISITION,24673,27979,2764
6672,FARMERS & MERCHANTS BANK OF HUNTSVILLE,COMMERCIAL BANK,STATE,"HUNTSVILLE, MO",3/28/1986 ,FDIC,14389,TRANSFER,17590,16603,4718
2547,EDDY COUNTY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"CARLSBAD, NM",4/3/1986 ,FDIC,23190,ACQUISITION,26541,30352,10919
2546,INDUSTRIAL NATIONAL BANK OF EAST CHICAGO,COMMERCIAL BANK,FEDERAL,"EAST CHICAGO, IN",4/3/1986 ,FDIC,22774,ACQUISITION,8146,8387,1180
7529,MAINLAND  S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"HOUSTON, TX",4/4/1986 ,FSLIC,30342,TRANSFER,873609,1003281,
2549,THE FIRST NATIONAL BANK OF RUSTON,COMMERCIAL BANK,FEDERAL,"RUSTON, LA",4/10/1986 ,FDIC,14308,ACQUISITION,31047,31539,2287
6677,THE PEOPLES BANK OF MERCER,COMMERCIAL BANK,STATE,"MERCER, MO",4/10/1986 ,FDIC,11451,PAYOUT,10456,10412,1987
2548,THE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"DYERSVILLE, IA",4/10/1986 ,FDIC,4452,ACQUISITION,39806,43038,11234
2550,CENTER NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"LOS ANGELES, CA",4/11/1986 ,FDIC,23920,ACQUISITION,45728,47721,10939
,GATEWAY SB,SAVINGS ASSOCIATION,FEDERAL/STATE,"SAN FRANCISCO, CA",4/14/1986 ,FSLIC,32059,MANAGEMENT,166948,155852,
7555,SUMMIT S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"PARK CITY, UT",4/16/1986 ,FSLIC,31989,PAYOUT,180733,210684,
2551,FLORIDA CENTER BANK,COMMERCIAL BANK,STATE,"ORLANDO, FL",4/18/1986 ,FDIC,21531,ACQUISITION,72235,78891,14758
6681,UNION COUNTY BANK,COMMERCIAL BANK,STATE,"MAYNARDVILLE, TN",4/22/1986 ,FDIC,16943,TRANSFER,30436,32902,3473
2552,FIRST NATIONAL BANK OF IRVING,COMMERCIAL BANK,FEDERAL,"IRVING, TX",4/24/1986 ,FDIC,18534,ACQUISITION,37809,38462,5247
2553,THE FIRST NATIONAL BANK OF BANDERA,COMMERCIAL BANK,FEDERAL,"BANDERA, TX",4/24/1986 ,FDIC,3088,ACQUISITION,15062,15541,2459
5686,THE FIRST NATIONAL BANK OF CARTER,COMMERCIAL BANK,FEDERAL,"CARTER, OK",5/1/1986 ,FDIC,4055,PAYOUT,6714,7344,1508
2555,THE BEDFORD NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"BEDFORD, IA",5/1/1986 ,FDIC,4426,ACQUISITION,18365,19323,4648
2554,BANK OF NORTONVILLE,COMMERCIAL BANK,STATE,"NORTONVILLE, KS",5/1/1986 ,FDIC,4742,ACQUISITION,6472,7249,2473
2556,BANK OF COMMERCE & TRUST COMPANY,COMMERCIAL BANK,STATE,"TULSA, OK",5/8/1986 ,FDIC,4215,ACQUISITION,154279,182653,52895
2558,FIRST BANK & TRUST OF IDAHO,COMMERCIAL BANK,STATE,"MALAD CITY, ID",5/9/1986 ,FDIC,2864,ACQUISITION,51885,55867,17244
2557,RAINSVILLE BANK,COMMERCIAL BANK,STATE,"RAINSVILLE, AL",5/9/1986 ,FDIC,19216,ACQUISITION,16081,17489,566
2559,THE CITIZENS STATE BANK OF ST. FRANCIS,COMMERCIAL BANK,STATE,"ST. FRANCIS, KS",5/15/1986 ,FDIC,14767,ACQUISITION,22073,24189,8430
5691,SADDLEBACK NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"LAGUNA HILLS, CA",5/15/1986 ,FDIC,24645,TRANSFER,13112,13454,3937
7542,CONSOLIDATED SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,"IRVINE, CA",5/22/1986 ,FSLIC,32199,PAYOUT,78422,84370,
2561,FIRST STATE BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"EDINBURG, TX",5/23/1986 ,FDIC,16382,ACQUISITION,136979,137947,21671
6694,SUNSHINE STATE BANK,COMMERCIAL BANK,STATE,"SOUTH MIAMI, FL",5/23/1986 ,FDIC,20857,PAYOUT,103092,109404,58532
2560,CENTENNIAL STATE BANK OF COLORADO,COMMERCIAL BANK,STATE,"ENGLEWOOD, CO",5/23/1986 ,FDIC,20912,ACQUISITION,20210,20357,2050
2562,ROSELAND STATE BANK,COMMERCIAL BANK,STATE,"ROSELAND, NE",5/28/1986 ,FDIC,14034,ACQUISITION,11237,12020,662
2563,"THE LONE ROCK BANK, N.A.",COMMERCIAL BANK,FEDERAL,"LONE ROCK, IA",5/29/1986 ,FDIC,25297,ACQUISITION,7165,7462,2200
5697,THE FIRST NATIONAL BK & TR CO. OF NORMAN,COMMERCIAL BANK,FEDERAL,"NORMAN, OK",5/29/1986 ,FDIC,4157,TRANSFER,75727,73170,28732
2565,BANK OF COLUMBIA FALLS,COMMERCIAL BANK,STATE,"COLUMBIA FALLS, MT",5/30/1986 ,FDIC,8315,ACQUISITION,39228,41470,18393
7531,SEAPOINTE S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"CARLSBAD, CA",5/31/1986 ,FSLIC,32314,TRANSFER,37882,17343,
6700,THE CITIZENS ST BANK OF MCCRACKEN,COMMERCIAL BANK,STATE,"MCCRACKEN, KS",6/5/1986 ,FDIC,18093,PAYOUT,10691,11396,6008
6701,SECURITY BANK OF GLENROCK,COMMERCIAL BANK,STATE,"GLENROCK, WY",6/6/1986 ,FDIC,23807,PAYOUT,5619,5993,2314
5702,"PETROBANK, N.A.",COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",6/12/1986 ,FDIC,24296,PAYOUT,34624,35455,12647
2567,THE BANK OF COMMERCE,COMMERCIAL BANK,STATE,"SHREVEPORT, LA",6/13/1986 ,FDIC,21889,ACQUISITION,74262,75430,27805
2566,BOSSIER BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,"BOSSIER CITY, LA",6/13/1986 ,FDIC,8142,ACQUISITION,201871,215830,86182
2568,FIRST NATIONAL BANK OF BORGER,COMMERCIAL BANK,FEDERAL,"BORGER, TX",6/19/1986 ,FDIC,16683,ACQUISITION,75196,80113,29463
5706,THE FIRST NATIONAL BANK OF CHANUTE,COMMERCIAL BANK,FEDERAL,"CHANUTE, KS",6/19/1986 ,FDIC,4637,PAYOUT,46636,45414,9549
6707,THE AMERICAN BANK,COMMERCIAL BANK,STATE,"ALMA, WI",6/20/1986 ,FDIC,13050,TRANSFER,36175,40024,3258
2569,CONTINENTAL NATIONAL BANK OF KENTUCKY,COMMERCIAL BANK,FEDERAL,"LOUISVILLE, KY",6/26/1986 ,FDIC,22275,ACQUISITION,10188,10088,405
6708,UNION DEPOSIT BANK,COMMERCIAL BANK,STATE,"UNION, KY",6/26/1986 ,FDIC,8765,TRANSFER,4998,5766,1256
2571,COMMERCIAL STATE BANK,COMMERCIAL BANK,STATE,"POCAHONTAS, IA",6/27/1986 ,FDIC,257,ACQUISITION,42878,47880,9936
2572,ORANGE COAST THRIFT & LOAN ASSOCIATION,COMMERCIAL BANK,STATE,"LOS ALAMITOS, CA",6/27/1986 ,FDIC,26439,ACQUISITION,12330,13966,5352
2570,THE HOME STATE BANK,COMMERCIAL BANK,STATE,"ROCHESTER, TX",6/27/1986 ,FDIC,15896,ACQUISITION,8968,9157,3135
5713,NATIONAL BANK OF TEXAS,COMMERCIAL BANK,FEDERAL,"AUSTIN, TX",7/2/1986 ,FDIC,21676,PAYOUT,31725,33378,14529
2573,FARMERS STATE BANK OF CLARISSA,COMMERCIAL BANK,STATE,"CLARISSA, MN",7/11/1986 ,FDIC,9730,ACQUISITION,16791,17918,7287
2574,THE FIRST NAT BK & TR CO. OF OKLAHOMA,COMMERCIAL BANK,FEDERAL,"OKLAHOMA CITY, OK",7/14/1986 ,FDIC,4164,ACQUISITION,1301346,1754157,220721
6716,THE BANK OF KIOWA,COMMERCIAL BANK,STATE,"KIOWA, KS",7/17/1986 ,FDIC,12142,PAYOUT,11019,10924,5110
2578,NEW MEXICO NATIONAL BANK,COMMERCIAL BANK,FEDERAL,"ALBUQUERQUE, NM",7/17/1986 ,FDIC,20457,ACQUISITION,149163,159298,34266
2577,THE FIRST NATIONAL BANK OF SHERIDAN,COMMERCIAL BANK,FEDERAL,"SHERIDAN, WY",7/17/1986 ,FDIC,2230,ACQUISITION,63573,69334,5576
2576,CALLAO COMMUNITY BANK,COMMERCIAL BANK,STATE,"CALLAO, MO",7/17/1986 ,FDIC,16969,ACQUISITION,5652,5671,1011
2575,FILLMORE COUNTY BANK,COMMERCIAL BANK,STATE,"GENEVA, NE",7/17/1986 ,FDIC,19579,ACQUISITION,11175,11975,2362
6721,PERMIAN BANK,COMMERCIAL BANK,STATE,"ODESSA, TX",7/18/1986 ,FDIC,20355,PAYOUT,38366,41221,10434
2579,FARMER'S BANK,COMMERCIAL BANK,STATE,"TRIMBLE, TN",7/18/1986 ,FDIC,8438,ACQUISITION,20248,21445,7372
2581,MCCUNE STATE BANK,COMMERCIAL BANK,STATE,"MCCUNE, KS",7/24/1986 ,FDIC,14111,ACQUISITION,8673,9134,1713
2580,THE FIRST NATIONAL BANK OF PRAIRIE CITY,COMMERCIAL BANK,FEDERAL,"PRAIRIE CITY, IA",7/24/1986 ,FDIC,4492,ACQUISITION,19248,18948,1802
7539,CENTRAL ILLINOIS S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"VIRDEN, IL",7/25/1986 ,FSLIC,28328,PAYOUT,58893,47585,
,MAJOR FEDERAL S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"CINCINNATI, OH",7/25/1986 ,FSLIC,30768,TRANSFER,21433,24999,
6726,THE BANK OF PARK COUNTY,COMMERCIAL BANK,STATE,"BAILEY, CO",7/25/1986 ,FDIC,21622,TRANSFER,5015,5950,0
2582,MOUNTAIN VALLEY BANK,COMMERCIAL BANK,STATE,"CONIFER, CO",7/25/1986 ,FDIC,23021,ACQUISITION,7346,8054,580
5727,FIRST NATIONAL BANK IN CORDELL,COMMERCIAL BANK,FEDERAL,"CORDELL, OK",7/31/1986 ,FDIC,4068,PAYOUT,22814,23026,8763
2585,THE GERING NATIONAL BANK & TRUST,COMMERCIAL BANK,FEDERAL,"GERING, NE",7/31/1986 ,FDIC,5409,ACQUISITION,70580,70213,19503
2584,CITIZENS STATE BANK,COMMERCIAL BANK,STATE,"IOWA FALLS, IA",7/31/1986 ,FDIC,15109,ACQUISITION,53474,53963,4832
2583,EDEN STATE BANK,COMMERCIAL BANK,STATE,"EDEN, TX",7/31/1986 ,FDIC,1186,ACQUISITION,13225,13340,2513
2586,THE EASTON STATE BANK,COMMERCIAL BANK,STATE,"ESTON, KS",8/7/1986 ,FDIC,16800,ACQUISITION,17162,17197,3740
5732,THE FIRST NAT BANK & TRUST CO. OF EL RENO,COMMERCIAL BANK,FEDERAL,"EL RENO, OK",8/7/1986 ,FDIC,4088,TRANSFER,44238,47182,15522
2588,GRAETTINGER STATE BANK,COMMERCIAL BANK,STATE,"GRAETTINGER, IA",8/7/1986 ,FDIC,18377,ACQUISITION,11459,11828,711
2589,FIRST CITIZENS BANK,COMMERCIAL BANK,STATE,"DALLAS, TX",8/7/1986 ,FDIC,17310,ACQUISITION,105402,112668,16142
6735,MEDICINE BOW STATE BANK,COMMERCIAL BANK,STATE,"MEDICINE BOW, WY",8/8/1986 ,FDIC,23229,PAYOUT,4207,4810,1585
,PENINSULA FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,"SOLDOTNA, AK",8/8/1986 ,FSLIC,31959,TRANSFER,41337,42622,
5737,CITIZENS NATIONAL BANK & TRUST CO,COMMERCIAL BANK,FEDERAL,"OKLAHOMA CITY, OK",8/14/1986 ,FDIC,16698,TRANSFER,183284,179081,55820
2590,THE STATE EXCHANGE BANK,COMMERCIAL BANK,STATE,"YATES CENTER, KS",8/14/1986 ,FDIC,8112,ACQUISITION,26692,27813,7531
